SPEEDING_CRASH,SL,NL,P_TRUCK,AVG_AADT,SIGNAL_NUM,SIGNAL_PER_MILE,STOPPED_NUM,STOPPED_PER_MILE,MEDIAN_WIDTH,MEDIAN_TYPE,P_RESIDENTIAL,P_COMMERCIAL,P_INDUSTRIAL,P_AGRICULTURAL,P_INSTITUTIONAL,P_GOVERNMENTAL,LANDUSE_MIX,POP_DEN,PCT_POV,PCT_VEHICLE_0,PCT_OLD_YOUNG,PCT_MEANS_PEDBIC,DAILY_TRANSIT,PAVEMENT_CONDITION,ISLDTYPE,ISLDWIDTH,OSLDTYPE,OSLDWIDTH,SURF_TYPE,SURFACE_WIDTH,LANE_WIDTH,POLES_PER_MILE,P_SINGLE_SIDEWALK_ONLY,P_BOTH_SIDEWALK_ONLY,SIDEWALK_WIDTH,P_SINGLE_BIKELANE_ONLY,P_BOTH_BIKELANE_ONLY,P_SINGLE_BIKESLOT_ONLY,P_BOTH_BIKESLOT_ONLY,P_SINGLE_SHAREDPATH_ONLY,P_BOTH_SHAREDPATH_ONLY,SHAREDPATH_WIDTH,SHAREDPATH_DISTFMRD,FRQ_AM78,NARROW_LANE,ASPHALT_SURFACE,PRESENCE_OF_MEDIAN_ISL_AT_CROSS,HIGH_FREQ_TRANSIT
0,55,6,8.266727477,43420.03864,3,1.963607802,10,6.54535934,40,0,0.427369022,0.192922078,0.002468797,0.169344115,0.007022834,0.029132227,0.692036108,7.15E-05,0.092120605,0.019055188,0.420618915,0.021489644,9.733411096,4.5,1,4,1,5,0,36,12,0,0,1,5,0,0,0.643147009,0.023563294,0,0,0,0,1.351862652,0,1,0,0
0,55,6,8.266727477,43420.03864,3,1.963607802,10,6.54535934,40,0,0.427369022,0.192922078,0.002468797,0.169344115,0.007022834,0.029132227,0.692036108,7.15E-05,0.092120605,0.019055188,0.420618915,0.021489644,9.733411096,4.5,1,4,1,5,0,36,12,0,0,1,5,0,0,0.643147009,0.023563294,0,0,0,0,1.351862652,0,1,0,0
1,45,4,5.673611111,33877.66667,2,3.338898164,1,1.669449082,40,0,0,0,0,0,1,0,0,0.000105312,0.249164936,0.178784711,0.445750017,0.031822233,0,5,1,2,1,4,0,24,12,0,0.141903172,0,5,0,0.358931553,0.001669449,0.150250417,0,0,0,0,0,0,1,0,0
1,45,4,5.673611111,33877.66667,2,3.338898164,1,1.669449082,40,0,0,0,0,0,1,0,0,0.000105312,0.249164936,0.178784711,0.445750017,0.031822233,0,5,1,2,1,4,0,24,12,0,0.141903172,0,5,0,0.358931553,0.001669449,0.150250417,0,0,0,0,0,0,1,0,0
1,45,4,5.673611111,33877.66667,2,3.338898164,1,1.669449082,40,0,0,0,0,0,1,0,0,0.000105312,0.249164936,0.178784711,0.445750017,0.031822233,0,5,1,2,1,4,0,24,12,0,0.141903172,0,5,0,0.358931553,0.001669449,0.150250417,0,0,0,0,0,0,1,0,0
1,45,4,5.673611111,33877.66667,2,3.338898164,1,1.669449082,40,0,0,0,0,0,1,0,0,0.000105312,0.249164936,0.178784711,0.445750017,0.031822233,0,5,1,2,1,4,0,24,12,0,0.141903172,0,5,0,0.358931553,0.001669449,0.150250417,0,0,0,0,0,0,1,0,0
1,45,6,4.466323024,48166.66667,2,2.386065378,3,3.579098067,30,0,0,0,0,0,0,0,0,8.46E-05,0.076294278,0.018518519,0.463502015,0.027210884,8.024939094,4.75,0,2,1,4.066809831,0,36,12,66.45562631,0.010737294,0.989262706,5,0.025053686,0.874731568,0.025053686,0.100214746,0,0,0,0,0.97271989,0,1,0,0
1,45,6,4.466323024,48166.66667,2,2.386065378,3,3.579098067,30,0,0,0,0,0,0,0,0,8.46E-05,0.076294278,0.018518519,0.463502015,0.027210884,8.024939094,4.75,0,2,1,4.066809831,0,36,12,66.45562631,0.010737294,0.989262706,5,0.025053686,0.874731568,0.025053686,0.100214746,0,0,0,0,0.97271989,0,1,0,0
1,50,4,6.437849996,28184.71797,2,5.247966413,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,5,0,24,12,6.01657324,1,0,7,0,0,0.307006035,0,0,0,0,0,0,0,1,0,0
1,50,4,6.437849996,28184.71797,2,5.247966413,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,5,0,24,12,6.01657324,1,0,7,0,0,0.307006035,0,0,0,0,0,0,0,1,0,0
2,45,6,6.400271003,60583.33333,3,4.970178926,2,3.313452618,16,0,0.659426443,0.133692016,0.00478473,0,0.049564897,0.080778104,0,1.08E-05,0.021791729,0,0.368490415,0.030965606,16,5,0,2,1,2.987077535,0,34.5,11.5,0,0,1,5.56925116,0.010934394,0.989065606,0.285950961,0,0,0,0,0,2,1,1,0,0
2,45,6,6.400271003,60583.33333,3,4.970178926,2,3.313452618,16,0,0.659426443,0.133692016,0.00478473,0,0.049564897,0.080778104,0,1.08E-05,0.021791729,0,0.368490415,0.030965606,16,5,0,2,1,2.987077535,0,34.5,11.5,0,0,1,5.56925116,0.010934394,0.989065606,0.285950961,0,0,0,0,0,2,1,1,0,0
1,50,8,6.66626506,41250,2,6.466214032,0,0,30,1,0.262224159,0.410948327,0.090041051,0.076176045,0.052128392,0.104017994,0.743027036,5.39E-05,0.112243769,0.183111457,0.394570124,0.073942726,26,4,0,2,1,4,0,48,12,256,0.970902037,0.029097963,5.060634621,0,0,0,0,0,0,0,0,4,0,1,0,1
1,50,8,6.66626506,41250,2,6.466214032,0,0,30,1,0.262224159,0.410948327,0.090041051,0.076176045,0.052128392,0.104017994,0.743027036,5.39E-05,0.112243769,0.183111457,0.394570124,0.073942726,26,4,0,2,1,4,0,48,12,256,0.970902037,0.029097963,5.060634621,0,0,0,0,0,0,0,0,4,0,1,0,1
0,40,4,5.085276074,27500,1,3.012048193,4,12.04819277,15.17771084,1,0.871081737,0.047924164,0,0,0.006658932,0.03804998,0,1.32E-05,0.054978239,0.038255559,0.490169601,0.016295231,11,3.730421687,0,3.559405941,1,7.034638554,0,23.79518072,11.89759036,23.99548872,0,1,5,0.03313253,0.120481928,0,0,0,0,0,0,2,1,1,0,0
0,40,4,5.085276074,27500,1,3.012048193,4,12.04819277,15.17771084,1,0.871081737,0.047924164,0,0,0.006658932,0.03804998,0,1.32E-05,0.054978239,0.038255559,0.490169601,0.016295231,11,3.730421687,0,3.559405941,1,7.034638554,0,23.79518072,11.89759036,23.99548872,0,1,5,0.03313253,0.120481928,0,0,0,0,0,0,2,1,1,0,0
0,55,4,6.562520856,20533.53457,0,0,6,14.73940728,40,0,0.042196482,0.081947022,0.249525341,0,0.09313685,0.052623003,0,1.51E-05,0.030897645,0.008838491,0.349591607,0,18,5,1,2,1,4,0,24,12,0,0,0,0,0,0.999997543,0.047345433,0,0,0,0,0,2,0,1,0,0
0,55,4,6.562520856,20533.53457,0,0,6,14.73940728,40,0,0.042196482,0.081947022,0.249525341,0,0.09313685,0.052623003,0,1.51E-05,0.030897645,0.008838491,0.349591607,0,18,5,1,2,1,4,0,24,12,0,0,0,0,0,0.999997543,0.047345433,0,0,0,0,0,2,0,1,0,0
0,35,4,4.257754479,22175.83333,0,0,2,6.896551724,14,0,0.880528739,0.041510683,0.003053082,0,0.00841529,0.062575138,0,4.10E-06,0.027568452,0.031175809,0.469663305,0,14,4.715517241,1,3,1,6,0,22,11,0,0,0.972413793,5,0,0.65862069,0,0,0,0,0,0,2,1,1,0,0
0,35,4,4.257754479,22175.83333,0,0,2,6.896551724,14,0,0.880528739,0.041510683,0.003053082,0,0.00841529,0.062575138,0,4.10E-06,0.027568452,0.031175809,0.469663305,0,14,4.715517241,1,3,1,6,0,22,11,0,0,0.972413793,5,0,0.65862069,0,0,0,0,0,0,2,1,1,0,0
3,65,4,9.537106918,16624.16667,0,0,2,0.381752243,40,0,0,0,0,0.129990009,0,0,0,1.28E-05,0.318860989,0.124231833,0.137796978,0.141062787,0,4,1,2,1,4,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,55,4,5.066666667,23415.5,2,1.183431953,2,1.183431953,23.14556213,0,0.408999076,0.277753141,0.057081721,0.056279092,0.012976376,0.08861241,0.754097566,6.00E-06,0.267399267,0.05106383,0.256410256,0.082125604,15,2.5,0,2,1,4,0,24,12,0,0,1,5,0,1,0.404733728,0.097633136,0,0,0,0,1,0,1,0,0
3,55,4,5.066666667,23415.5,2,1.183431953,2,1.183431953,23.14556213,0,0.408999076,0.277753141,0.057081721,0.056279092,0.012976376,0.08861241,0.754097566,6.00E-06,0.267399267,0.05106383,0.256410256,0.082125604,15,2.5,0,2,1,4,0,24,12,0,0,1,5,0,1,0.404733728,0.097633136,0,0,0,0,1,0,1,0,0
0,45,6,2.407118824,60002.85594,0,0,2,9.159731986,29.51135578,0,0,0,0,0,0,0,0,6.62E-06,0.376744186,0.114186851,0.41554559,0.170498084,34,5,0,2,1,4,0,36,12,11.01403282,0,1,5,0,0,0.015328811,0,0,0,0,0,4,0,1,0,1
0,45,6,2.407118824,60002.85594,0,0,2,9.159731986,29.51135578,0,0,0,0,0,0,0,0,6.62E-06,0.376744186,0.114186851,0.41554559,0.170498084,34,5,0,2,1,4,0,36,12,11.01403282,0,1,5,0,0,0.015328811,0,0,0,0,0,4,0,1,0,1
0,45,4,10.82331288,27329.16667,0,0,0,0,18.27473351,1,0.197290069,0.121220147,0.230384852,0,0.042479711,0.30385239,0,0,0,0,0,0,0,5,1,2,1,4,0,24,12,20.29297758,0.009952791,0.030853651,5.685185185,0,0,0,0,0,0,0,0,0,0,1,0,0
0,45,4,10.82331288,27329.16667,0,0,0,0,18.27473351,1,0.197290069,0.121220147,0.230384852,0,0.042479711,0.30385239,0,0,0,0,0,0,0,5,1,2,1,4,0,24,12,20.29297758,0.009952791,0.030853651,5.685185185,0,0,0,0,0,0,0,0,0,0,1,0,0
2,45,6,6.598833581,36283.80893,1,0.973520249,6,5.841121495,20.98364486,1,0.512288271,0.097719309,0.015519547,0.018229218,0.066070607,0.248274437,0.668366707,0.00010072,0.177496759,0.086303825,0.423940207,0.066624035,0,5,1,4,1,4.297897196,0,36,12,1.403147697,0,1,5,0.070288162,0.929711838,0.070288162,0,0,0,0,0,0,0,1,0,0
2,45,6,6.598833581,36283.80893,1,0.973520249,6,5.841121495,20.98364486,1,0.512288271,0.097719309,0.015519547,0.018229218,0.066070607,0.248274437,0.668366707,0.00010072,0.177496759,0.086303825,0.423940207,0.066624035,0,5,1,4,1,4.297897196,0,36,12,1.403147697,0,1,5,0.070288162,0.929711838,0.070288162,0,0,0,0,0,0,0,1,0,0
1,45,6,4.689583333,41000,0,0,4,10.15744033,21.95022854,1,0.509353792,0.326816985,0.012726867,0.033318951,0.01844668,0.097958181,0.57175399,4.05E-06,0.041712809,0.034227331,0.51947213,0.032564451,16,4.913560183,0,2,1,4.443880142,0,36,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
1,45,6,4.689583333,41000,0,0,4,10.15744033,21.95022854,1,0.509353792,0.326816985,0.012726867,0.033318951,0.01844668,0.097958181,0.57175399,4.05E-06,0.041712809,0.034227331,0.51947213,0.032564451,16,4.913560183,0,2,1,4.443880142,0,36,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
2,55,6,8.229108635,24850,0,0,3,6.880733945,24.29816514,1,0.518684809,0.22714289,0,0.08174225,0.052096625,0.000327062,0,0.000168709,0.217793215,0.088178526,0.350606578,0.110307667,18,5,0,2,1,5,0,33,11,0,0,1,6,0,1,0,0,0,0,0,0,2,1,1,0,0
2,55,6,8.229108635,24850,0,0,3,6.880733945,24.29816514,1,0.518684809,0.22714289,0,0.08174225,0.052096625,0.000327062,0,0.000168709,0.217793215,0.088178526,0.350606578,0.110307667,18,5,0,2,1,5,0,33,11,0,0,1,6,0,1,0,0,0,0,0,0,2,1,1,0,0
1,45,4,5.146203462,23422.90319,1,5.69476082,0,0,20,0,0.689313886,0.083708333,0.008709058,0,0.031563297,0.184246638,0,2.46E-05,0.222324723,0.050880626,0.343173432,0.033730159,15,2.5,0,2,1,4,0,24,12,0,0.398633257,0.601366743,5.027738265,0,1,0.487471526,0,0,0,0,0,1,0,1,0,0
1,45,4,5.146203462,23422.90319,1,5.69476082,0,0,20,0,0.689313886,0.083708333,0.008709058,0,0.031563297,0.184246638,0,2.46E-05,0.222324723,0.050880626,0.343173432,0.033730159,15,2.5,0,2,1,4,0,24,12,0,0.398633257,0.601366743,5.027738265,0,1,0.487471526,0,0,0,0,0,1,0,1,0,0
